file_name,category
BISIMWA MUHASHA DANIEL Système embarqué.docx,Documents
Chapitre 1 Bisimwa Muhasha.docx,Documents
CHAPITRE 2 (Récupération automatique) (Récupération automatique).docx,Documents
CSI.docx,Documents
IDENTIFICATION POSTE.docx,Documents
INTERSTELLAIRE.docx,Documents
La médecine a toujours eu une place prépondérante dans la société.docx,Documents
Machin Learning Bisimwa Muhasha.docx,Documents
Mon TFC BISIMWA MUHASHA.docx,Documents
OBJETS CONNECTES TP_2.docx,Documents
RAP B2  (1).docx,Documents
RAPPORT DE STAGE(1).docx,Documents
TFC BISIMWA MUHASHA 1.docx,Documents
TP Conception de système intelligent.docx,Documents
TP Pour les filles.docx,Documents
50.Python.Concepts.Every.Developer.Should.Know.pdf,Livres
a-masters-course-in-python-with-certification.pdf,Livres
advanced-javascript-unleashed.pdf,Livres
Apress.High-Performance.Web.Apps.with.FastAPI.pdf,Livres
Apress.Modern.C.for.Absolute.Beginners.pdf,Livres
Beginning App Development with Flutter by Rap Payne.pdf,Livres
"Beginning_Git_and_GitHub_Version_Control,_Project_Management_and.pdf",Livres
Build.a.Backend.REST.API.with.Python.Django.pdf,Livres
Cours_Proba_2013.pdf,Livres
django-web-apis-python.pdf,Livres
Django_for_professionals.pdf,Livres
Docker.Deep.Dive.2024.pdf,Livres
Efficient Linux at the Command Line B....pdf,Livres
F008111.pdf,Livres
FastAPI.Modern.Python.Web.Development.pdf,Livres
Flask_Web_Development_Developing.pdf,Livres
Full Stack Django and React by Kolawole Mangabo (2023).pdf,Livres
full-stack-fastapi-react-mongodb.pdf,Livres
Head First Git (Raju Gandhi [Raju Gandhi]).pdf,Livres
JavaScript from Frontend to Backend by Eric Sarrion (2022).pdf,Livres
luciano-ramalho-fluent-python_-clear-concise-and-effective-programming-oreilly-media-2022.pdf,Livres
mastering-django-beginners-guide.pdf,Livres
MERN_Projects_for_Beginners_Create_Five_Social_Web_Apps_Using_MongoDB.pdf,Livres
NGINX.Cookbook.pdf,Livres
node-js-fr.pdf,Livres
Node.js Novice to Ninja by Craig Buckler (2022).pdf,Livres
Notes de CSI 2023-2024.pdf,Livres
OReilly.Clean.Code.Cookbook.pdf,Livres
OReilly.Flutter.and.Dart.Cookbook.pdf,Livres
Packt.Hands-On.Microservices.with.Django.pdf,Livres
Packt.NGINX.HTTP.Server.pdf,Livres
"Pro MERN Stack, 2nd Edition.pdf",Livres
0000030593_517100_09_504x690.jpg,Photos
61fbH6ic5fL._AC_UY1000_.jpg,Photos
834925-748360818.jpg,Photos
ar-sac-cabas-chic-noir-A-details-argentEs-16561.jpg,Photos
comment-choisir-un-parfum-femme.jpg,Photos
gojo-satoru-retour-scaled.jpg,Photos
images (24).jpeg,Photos
images (25).jpeg,Photos
images (26).jpeg,Photos
images (27).jpeg,Photos
le-sac-a-dos-classic-ecosystem-sup-mc-sup.jpg,Photos
sac-a-main-shopping-femme.jpg,Photos
sandale-haut-talon-aiguille-15-cm-rose-vernis-petite-et-grande-taille.jpg,Photos
Activision Blizzard King Joins Xbox - Official Trailer.mp4,Vidéos
Build a Video Calling App with Django and ZegoCloud (SUPER EASY!).mp4,Vidéos
Django REST Framework Course – Build Web APIs with Python.mp4,Vidéos
Enregistrement 2024-05-21 185449.mp4,Vidéos
Enregistrement 2024-11-25 112709.mp4,Vidéos
Enregistrement 2024-11-25 171505.mp4,Vidéos
Enregistrement 2025-01-15 184713.mp4,Vidéos
How To Generate PDF Files Dynamically With Django - Django Wednesdays #17.mp4,Vidéos
Learn Django by Building an Online Marketplace – Python Tutorial for Beginners.mp4,Vidéos
Learn The Dart Programming Language - Complete Free Course!.mp4,Vidéos
Tester vos API avec Insomnia.mp4,Vidéos
Tutoriel JavaScript_WebRTC _ Découverte du WebRTC.mp4,Vidéos
WEB SCRAPING PYTHON [TUTO PROGRAMMATION COMPLET] (DÉBUTANT À AVANCÉ).mp4,Vidéos
